号码,中奖类型,倍率,奖金
000,豹子,20,100
001,对子,1,5
002,对子,1,5
003,对子,1,5
004,对子,1,5
005,对子,1,5
006,对子,1,5
007,对子,1,5
008,对子,1,5
009,对子,1,5
010,对子,1,5
011,对子,1,5
012,顺子,5,25
013,幸运号,1,5
014,幸运号,1,5
015,幸运号,1,5
016,幸运号,1,5
017,幸运号,1,5
018,幸运号,1,5
019,幸运号,1,5
020,对子,1,5
021,幸运号,1,5
022,对子,1,5
023,幸运号,1,5
024,幸运号,1,5
025,幸运号,1,5
026,幸运号,1,5
027,幸运号,1,5
028,幸运号,1,5
029,幸运号,1,5
030,对子,1,5
031,幸运号,1,5
032,幸运号,1,5
033,对子,1,5
034,幸运号,1,5
035,幸运号,1,5
036,幸运号,1,5
037,幸运号,1,5
038,幸运号,1,5
039,幸运号,1,5
040,对子,1,5
041,幸运号,1,5
042,幸运号,1,5
043,幸运号,1,5
044,对子,1,5
045,幸运号,1,5
046,幸运号,1,5
047,幸运号,1,5
048,幸运号,1,5
049,幸运号,1,5
050,对子,1,5
051,幸运号,1,5
052,幸运号,1,5
053,幸运号,1,5
054,幸运号,1,5
055,对子,1,5
056,幸运号,1,5
057,幸运号,1,5
058,幸运号,1,5
059,幸运号,1,5
060,对子,1,5
061,幸运号,1,5
062,幸运号,1,5
063,幸运号,1,5
064,幸运号,1,5
065,幸运号,1,5
066,对子,1,5
067,幸运号,1,5
068,幸运号,1,5
069,幸运号,1,5
070,对子,1,5
071,幸运号,1,5
072,幸运号,1,5
073,幸运号,1,5
074,幸运号,1,5
075,幸运号,1,5
076,幸运号,1,5
077,对子,1,5
078,幸运号,1,5
079,幸运号,1,5
080,对子,1,5
081,幸运号,1,5
082,幸运号,1,5
083,幸运号,1,5
084,幸运号,1,5
085,幸运号,1,5
086,幸运号,1,5
087,幸运号,1,5
088,对子,1,5
089,幸运号,1,5
090,对子,1,5
091,幸运号,1,5
092,幸运号,1,5
093,幸运号,1,5
094,幸运号,1,5
095,幸运号,1,5
096,幸运号,1,5
097,幸运号,1,5
098,幸运号,1,5
099,对子,1,5
100,对子,1,5
101,对子,1,5
102,幸运号,1,5
103,幸运号,1,5
104,幸运号,1,5
105,幸运号,1,5
106,幸运号,1,5
107,幸运号,1,5
108,幸运号,1,5
109,幸运号,1,5
110,对子,1,5
111,豹子,20,100
112,对子,1,5
113,对子,1,5
114,对子,1,5
115,对子,1,5
116,对子,1,5
117,对子,1,5
118,对子,1,5
119,对子,1,5
120,幸运号,1,5
121,对子,1,5
122,对子,1,5
123,顺子,5,25
124,幸运号,1,5
125,幸运号,1,5
126,幸运号,1,5
127,幸运号,1,5
128,幸运号,1,5
129,幸运号,1,5
130,幸运号,1,5
131,对子,1,5
132,幸运号,1,5
133,对子,1,5
134,幸运号,1,5
135,幸运号,1,5
136,幸运号,1,5
137,幸运号,1,5
138,幸运号,1,5
139,幸运号,1,5
140,幸运号,1,5
141,对子,1,5
142,幸运号,1,5
143,幸运号,1,5
144,对子,1,5
145,幸运号,1,5
146,幸运号,1,5
147,幸运号,1,5
148,未中奖,0,0
149,未中奖,0,0
150,未中奖,0,0
151,对子,1,5
152,未中奖,0,0
153,未中奖,0,0
154,未中奖,0,0
155,对子,1,5
156,未中奖,0,0
157,未中奖,0,0
158,未中奖,0,0
159,未中奖,0,0
160,未中奖,0,0
161,对子,1,5
162,未中奖,0,0
163,未中奖,0,0
164,未中奖,0,0
165,未中奖,0,0
166,对子,1,5
167,未中奖,0,0
168,未中奖,0,0
169,未中奖,0,0
170,未中奖,0,0
171,对子,1,5
172,未中奖,0,0
173,未中奖,0,0
174,未中奖,0,0
175,未中奖,0,0
176,未中奖,0,0
177,对子,1,5
178,未中奖,0,0
179,未中奖,0,0
180,未中奖,0,0
181,对子,1,5
182,未中奖,0,0
183,未中奖,0,0
184,未中奖,0,0
185,未中奖,0,0
186,未中奖,0,0
187,未中奖,0,0
188,对子,1,5
189,未中奖,0,0
190,未中奖,0,0
191,对子,1,5
192,未中奖,0,0
193,未中奖,0,0
194,未中奖,0,0
195,未中奖,0,0
196,未中奖,0,0
197,未中奖,0,0
198,未中奖,0,0
199,对子,1,5
200,对子,1,5
201,未中奖,0,0
202,对子,1,5
203,未中奖,0,0
204,未中奖,0,0
205,未中奖,0,0
206,未中奖,0,0
207,未中奖,0,0
208,未中奖,0,0
209,未中奖,0,0
210,顺子,5,25
211,对子,1,5
212,对子,1,5
213,未中奖,0,0
214,未中奖,0,0
215,未中奖,0,0
216,未中奖,0,0
217,未中奖,0,0
218,未中奖,0,0
219,未中奖,0,0
220,对子,1,5
221,对子,1,5
222,豹子,20,100
223,对子,1,5
224,对子,1,5
225,对子,1,5
226,对子,1,5
227,对子,1,5
228,对子,1,5
229,对子,1,5
230,未中奖,0,0
231,未中奖,0,0
232,对子,1,5
233,对子,1,5
234,顺子,5,25
235,未中奖,0,0
236,未中奖,0,0
237,未中奖,0,0
238,未中奖,0,0
239,未中奖,0,0
240,未中奖,0,0
241,未中奖,0,0
242,对子,1,5
243,未中奖,0,0
244,对子,1,5
245,未中奖,0,0
246,未中奖,0,0
247,未中奖,0,0
248,未中奖,0,0
249,未中奖,0,0
250,未中奖,0,0
251,未中奖,0,0
252,对子,1,5
253,未中奖,0,0
254,未中奖,0,0
255,对子,1,5
256,未中奖,0,0
257,未中奖,0,0
258,未中奖,0,0
259,未中奖,0,0
260,未中奖,0,0
261,未中奖,0,0
262,对子,1,5
263,未中奖,0,0
264,未中奖,0,0
265,未中奖,0,0
266,对子,1,5
267,未中奖,0,0
268,未中奖,0,0
269,未中奖,0,0
270,未中奖,0,0
271,未中奖,0,0
272,对子,1,5
273,未中奖,0,0
274,未中奖,0,0
275,未中奖,0,0
276,未中奖,0,0
277,对子,1,5
278,未中奖,0,0
279,未中奖,0,0
280,未中奖,0,0
281,未中奖,0,0
282,对子,1,5
283,未中奖,0,0
284,未中奖,0,0
285,未中奖,0,0
286,未中奖,0,0
287,未中奖,0,0
288,对子,1,5
289,未中奖,0,0
290,未中奖,0,0
291,未中奖,0,0
292,对子,1,5
293,未中奖,0,0
294,未中奖,0,0
295,未中奖,0,0
296,未中奖,0,0
297,未中奖,0,0
298,未中奖,0,0
299,对子,1,5
300,对子,1,5
301,未中奖,0,0
302,未中奖,0,0
303,对子,1,5
304,未中奖,0,0
305,未中奖,0,0
306,未中奖,0,0
307,未中奖,0,0
308,未中奖,0,0
309,未中奖,0,0
310,未中奖,0,0
311,对子,1,5
312,未中奖,0,0
313,对子,1,5
314,未中奖,0,0
315,未中奖,0,0
316,未中奖,0,0
317,未中奖,0,0
318,未中奖,0,0
319,未中奖,0,0
320,未中奖,0,0
321,顺子,5,25
322,对子,1,5
323,对子,1,5
324,未中奖,0,0
325,未中奖,0,0
326,未中奖,0,0
327,未中奖,0,0
328,未中奖,0,0
329,未中奖,0,0
330,对子,1,5
331,对子,1,5
332,对子,1,5
333,豹子,20,100
334,对子,1,5
335,对子,1,5
336,对子,1,5
337,对子,1,5
338,对子,1,5
339,对子,1,5
340,未中奖,0,0
341,未中奖,0,0
342,未中奖,0,0
343,对子,1,5
344,对子,1,5
345,顺子,5,25
346,未中奖,0,0
347,未中奖,0,0
348,未中奖,0,0
349,未中奖,0,0
350,未中奖,0,0
351,未中奖,0,0
352,未中奖,0,0
353,对子,1,5
354,未中奖,0,0
355,对子,1,5
356,未中奖,0,0
357,未中奖,0,0
358,未中奖,0,0
359,未中奖,0,0
360,未中奖,0,0
361,未中奖,0,0
362,未中奖,0,0
363,对子,1,5
364,未中奖,0,0
365,未中奖,0,0
366,对子,1,5
367,未中奖,0,0
368,未中奖,0,0
369,未中奖,0,0
370,未中奖,0,0
371,未中奖,0,0
372,未中奖,0,0
373,对子,1,5
374,未中奖,0,0
375,未中奖,0,0
376,未中奖,0,0
377,对子,1,5
378,未中奖,0,0
379,未中奖,0,0
380,未中奖,0,0
381,未中奖,0,0
382,未中奖,0,0
383,对子,1,5
384,未中奖,0,0
385,未中奖,0,0
386,未中奖,0,0
387,未中奖,0,0
388,对子,1,5
389,未中奖,0,0
390,未中奖,0,0
391,未中奖,0,0
392,未中奖,0,0
393,对子,1,5
394,未中奖,0,0
395,未中奖,0,0
396,未中奖,0,0
397,未中奖,0,0
398,未中奖,0,0
399,对子,1,5
400,对子,1,5
401,未中奖,0,0
402,未中奖,0,0
403,未中奖,0,0
404,对子,1,5
405,未中奖,0,0
406,未中奖,0,0
407,未中奖,0,0
408,未中奖,0,0
409,未中奖,0,0
410,未中奖,0,0
411,对子,1,5
412,未中奖,0,0
413,未中奖,0,0
414,对子,1,5
415,未中奖,0,0
416,未中奖,0,0
417,未中奖,0,0
418,未中奖,0,0
419,未中奖,0,0
420,未中奖,0,0
421,未中奖,0,0
422,对子,1,5
423,未中奖,0,0
424,对子,1,5
425,未中奖,0,0
426,未中奖,0,0
427,未中奖,0,0
428,未中奖,0,0
429,未中奖,0,0
430,未中奖,0,0
431,未中奖,0,0
432,顺子,5,25
433,对子,1,5
434,对子,1,5
435,未中奖,0,0
436,未中奖,0,0
437,未中奖,0,0
438,未中奖,0,0
439,未中奖,0,0
440,对子,1,5
441,对子,1,5
442,对子,1,5
443,对子,1,5
444,豹子,20,100
445,对子,1,5
446,对子,1,5
447,对子,1,5
448,对子,1,5
449,对子,1,5
450,未中奖,0,0
451,未中奖,0,0
452,未中奖,0,0
453,未中奖,0,0
454,对子,1,5
455,对子,1,5
456,顺子,5,25
457,未中奖,0,0
458,未中奖,0,0
459,未中奖,0,0
460,未中奖,0,0
461,未中奖,0,0
462,未中奖,0,0
463,未中奖,0,0
464,对子,1,5
465,未中奖,0,0
466,对子,1,5
467,未中奖,0,0
468,未中奖,0,0
469,未中奖,0,0
470,未中奖,0,0
471,未中奖,0,0
472,未中奖,0,0
473,未中奖,0,0
474,对子,1,5
475,未中奖,0,0
476,未中奖,0,0
477,对子,1,5
478,未中奖,0,0
479,未中奖,0,0
480,未中奖,0,0
481,未中奖,0,0
482,未中奖,0,0
483,未中奖,0,0
484,对子,1,5
485,未中奖,0,0
486,未中奖,0,0
487,未中奖,0,0
488,对子,1,5
489,未中奖,0,0
490,未中奖,0,0
491,未中奖,0,0
492,未中奖,0,0
493,未中奖,0,0
494,对子,1,5
495,未中奖,0,0
496,未中奖,0,0
497,未中奖,0,0
498,未中奖,0,0
499,对子,1,5
500,对子,1,5
501,未中奖,0,0
502,未中奖,0,0
503,未中奖,0,0
504,未中奖,0,0
505,对子,1,5
506,未中奖,0,0
507,未中奖,0,0
508,未中奖,0,0
509,未中奖,0,0
510,未中奖,0,0
511,对子,1,5
512,未中奖,0,0
513,未中奖,0,0
514,未中奖,0,0
515,对子,1,5
516,未中奖,0,0
517,未中奖,0,0
518,未中奖,0,0
519,未中奖,0,0
520,未中奖,0,0
521,未中奖,0,0
522,对子,1,5
523,未中奖,0,0
524,未中奖,0,0
525,对子,1,5
526,未中奖,0,0
527,未中奖,0,0
528,未中奖,0,0
529,未中奖,0,0
530,未中奖,0,0
531,未中奖,0,0
532,未中奖,0,0
533,对子,1,5
534,未中奖,0,0
535,对子,1,5
536,未中奖,0,0
537,未中奖,0,0
538,未中奖,0,0
539,未中奖,0,0
540,未中奖,0,0
541,未中奖,0,0
542,未中奖,0,0
543,顺子,5,25
544,对子,1,5
545,对子,1,5
546,未中奖,0,0
547,未中奖,0,0
548,未中奖,0,0
549,未中奖,0,0
550,对子,1,5
551,对子,1,5
552,对子,1,5
553,对子,1,5
554,对子,1,5
555,豹子,20,100
556,对子,1,5
557,对子,1,5
558,对子,1,5
559,对子,1,5
560,未中奖,0,0
