号码,中奖类型,倍率,奖金
000,豹子,20,100
001,对子,1,5
002,对子,1,5
003,对子,1,5
004,对子,1,5
005,对子,1,5
006,对子,1,5
007,对子,1,5
008,对子,1,5
009,对子,1,5
010,对子,1,5
011,对子,1,5
012,顺子,5,25
013,幸运号,1,5
014,幸运号,1,5
015,幸运号,1,5
016,幸运号,1,5
017,幸运号,1,5
018,幸运号,1,5
019,幸运号,1,5
020,对子,1,5
021,幸运号,1,5
022,对子,1,5
023,幸运号,1,5
024,幸运号,1,5
025,幸运号,1,5
026,幸运号,1,5
027,幸运号,1,5
028,幸运号,1,5
029,幸运号,1,5
030,对子,1,5
031,幸运号,1,5
032,幸运号,1,5
033,对子,1,5
034,幸运号,1,5
035,幸运号,1,5
036,幸运号,1,5
037,幸运号,1,5
038,幸运号,1,5
039,幸运号,1,5
040,对子,1,5
041,幸运号,1,5
042,幸运号,1,5
043,幸运号,1,5
044,对子,1,5
045,幸运号,1,5
046,幸运号,1,5
047,幸运号,1,5
048,幸运号,1,5
049,幸运号,1,5
050,对子,1,5
051,幸运号,1,5
052,幸运号,1,5
053,幸运号,1,5
054,幸运号,1,5
055,对子,1,5
056,幸运号,1,5
057,幸运号,1,5
058,幸运号,1,5
059,幸运号,1,5
060,对子,1,5
061,幸运号,1,5
062,幸运号,1,5
063,幸运号,1,5
064,幸运号,1,5
065,幸运号,1,5
066,对子,1,5
067,幸运号,1,5
068,幸运号,1,5
069,幸运号,1,5
070,对子,1,5
071,幸运号,1,5
072,幸运号,1,5
073,幸运号,1,5
074,幸运号,1,5
075,幸运号,1,5
076,幸运号,1,5
077,对子,1,5
078,幸运号,1,5
079,幸运号,1,5
080,对子,1,5
081,幸运号,1,5
082,幸运号,1,5
083,幸运号,1,5
084,幸运号,1,5
085,幸运号,1,5
086,幸运号,1,5
087,幸运号,1,5
088,对子,1,5
089,幸运号,1,5
090,对子,1,5
091,幸运号,1,5
092,幸运号,1,5
093,幸运号,1,5
094,幸运号,1,5
095,幸运号,1,5
096,幸运号,1,5
097,幸运号,1,5
098,幸运号,1,5
099,对子,1,5
100,对子,1,5
101,对子,1,5
102,幸运号,1,5
103,幸运号,1,5
104,幸运号,1,5
105,幸运号,1,5
106,幸运号,1,5
107,幸运号,1,5
108,幸运号,1,5
109,幸运号,1,5
110,对子,1,5
111,豹子,20,100
112,对子,1,5
113,对子,1,5
114,对子,1,5
115,对子,1,5
116,对子,1,5
117,对子,1,5
118,对子,1,5
119,对子,1,5
120,幸运号,1,5
121,对子,1,5
122,对子,1,5
123,顺子,5,25
124,幸运号,1,5
125,幸运号,1,5
126,幸运号,1,5
127,幸运号,1,5
128,幸运号,1,5
129,幸运号,1,5
130,幸运号,1,5
131,对子,1,5
132,幸运号,1,5
133,对子,1,5
134,幸运号,1,5
135,幸运号,1,5
136,幸运号,1,5
137,幸运号,1,5
138,幸运号,1,5
139,幸运号,1,5
140,幸运号,1,5
141,对子,1,5
142,幸运号,1,5
143,幸运号,1,5
144,对子,1,5
145,幸运号,1,5
146,幸运号,1,5
147,幸运号,1,5
151,对子,1,5
155,对子,1,5
161,对子,1,5
166,对子,1,5
171,对子,1,5
177,对子,1,5
181,对子,1,5
188,对子,1,5
191,对子,1,5
199,对子,1,5
200,对子,1,5
202,对子,1,5
210,顺子,5,25
211,对子,1,5
212,对子,1,5
220,对子,1,5
221,对子,1,5
222,豹子,20,100
223,对子,1,5
224,对子,1,5
225,对子,1,5
226,对子,1,5
227,对子,1,5
228,对子,1,5
229,对子,1,5
232,对子,1,5
233,对子,1,5
234,顺子,5,25
242,对子,1,5
244,对子,1,5
252,对子,1,5
255,对子,1,5
262,对子,1,5
266,对子,1,5
272,对子,1,5
277,对子,1,5
282,对子,1,5
288,对子,1,5
292,对子,1,5
299,对子,1,5
300,对子,1,5
303,对子,1,5
311,对子,1,5
313,对子,1,5
321,顺子,5,25
322,对子,1,5
323,对子,1,5
330,对子,1,5
331,对子,1,5
332,对子,1,5
333,豹子,20,100
334,对子,1,5
335,对子,1,5
336,对子,1,5
337,对子,1,5
338,对子,1,5
339,对子,1,5
343,对子,1,5
344,对子,1,5
345,顺子,5,25
353,对子,1,5
355,对子,1,5
363,对子,1,5
366,对子,1,5
373,对子,1,5
377,对子,1,5
383,对子,1,5
388,对子,1,5
393,对子,1,5
399,对子,1,5
400,对子,1,5
404,对子,1,5
411,对子,1,5
414,对子,1,5
422,对子,1,5
424,对子,1,5
432,顺子,5,25
433,对子,1,5
434,对子,1,5
440,对子,1,5
441,对子,1,5
442,对子,1,5
443,对子,1,5
444,豹子,20,100
445,对子,1,5
446,对子,1,5
447,对子,1,5
448,对子,1,5
449,对子,1,5
454,对子,1,5
455,对子,1,5
456,顺子,5,25
464,对子,1,5
466,对子,1,5
474,对子,1,5
477,对子,1,5
484,对子,1,5
488,对子,1,5
494,对子,1,5
499,对子,1,5
500,对子,1,5
505,对子,1,5
511,对子,1,5
515,对子,1,5
522,对子,1,5
525,对子,1,5
533,对子,1,5
535,对子,1,5
543,顺子,5,25
544,对子,1,5
545,对子,1,5
550,对子,1,5
551,对子,1,5
552,对子,1,5
553,对子,1,5
554,对子,1,5
555,豹子,20,100
556,对子,1,5
557,对子,1,5
558,对子,1,5
559,对子,1,5
565,对子,1,5
566,对子,1,5
567,顺子,5,25
575,对子,1,5
577,对子,1,5
585,对子,1,5
588,对子,1,5
595,对子,1,5
599,对子,1,5
600,对子,1,5
606,对子,1,5
611,对子,1,5
616,对子,1,5
622,对子,1,5
626,对子,1,5
633,对子,1,5
636,对子,1,5
644,对子,1,5
646,对子,1,5
654,顺子,5,25
655,对子,1,5
656,对子,1,5
660,对子,1,5
661,对子,1,5
662,对子,1,5
663,对子,1,5
664,对子,1,5
665,对子,1,5
666,豹子,20,100
667,对子,1,5
668,对子,1,5
669,对子,1,5
676,对子,1,5
677,对子,1,5
678,顺子,5,25
686,对子,1,5
688,对子,1,5
696,对子,1,5
699,对子,1,5
700,对子,1,5
707,对子,1,5
711,对子,1,5
717,对子,1,5
722,对子,1,5
727,对子,1,5
733,对子,1,5
737,对子,1,5
744,对子,1,5
747,对子,1,5
755,对子,1,5
757,对子,1,5
765,顺子,5,25
766,对子,1,5
767,对子,1,5
770,对子,1,5
771,对子,1,5
772,对子,1,5
773,对子,1,5
774,对子,1,5
775,对子,1,5
776,对子,1,5
777,豹子,20,100
778,对子,1,5
779,对子,1,5
787,对子,1,5
788,对子,1,5
789,顺子,5,25
797,对子,1,5
799,对子,1,5
800,对子,1,5
808,对子,1,5
811,对子,1,5
818,对子,1,5
822,对子,1,5
828,对子,1,5
833,对子,1,5
838,对子,1,5
844,对子,1,5
848,对子,1,5
855,对子,1,5
858,对子,1,5
866,对子,1,5
868,对子,1,5
876,顺子,5,25
877,对子,1,5
878,对子,1,5
880,对子,1,5
881,对子,1,5
882,对子,1,5
883,对子,1,5
884,对子,1,5
885,对子,1,5
886,对子,1,5
887,对子,1,5
888,豹子,20,100
889,对子,1,5
898,对子,1,5
899,对子,1,5
900,对子,1,5
909,对子,1,5
911,对子,1,5
919,对子,1,5
922,对子,1,5
929,对子,1,5
933,对子,1,5
939,对子,1,5
944,对子,1,5
949,对子,1,5
955,对子,1,5
959,对子,1,5
966,对子,1,5
969,对子,1,5
977,对子,1,5
979,对子,1,5
987,顺子,5,25
988,对子,1,5
989,对子,1,5
990,对子,1,5
991,对子,1,5
992,对子,1,5
993,对子,1,5
994,对子,1,5
995,对子,1,5
996,对子,1,5
997,对子,1,5
998,对子,1,5
999,豹子,20,100
